BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
0,0,78.75,506.8,585.55,0,0,0,0,0
0,0,78.81,506.806666666667,585.616666666667,0,0,0,0,0
0,0,79.11,506.82,585.93,0,0,0,0,0
0,0,79.26,506.793333333333,586.053333333333,0,0,0,0,0
0,0,79.54,506.78,586.32,0,0,0,0,0
0,0,79.6533333333333,506.77,586.423333333333,0,0,0,0,0
0,0,79.88,506.77,586.65,0,0,0,0,0
0,0,79.8866666666667,506.81,586.696666666667,0,0,0,0,0
0,0,79.9,506.803333333333,586.703333333333,0,0,0,0,0
0,0,80.49,506.79,587.28,0,0,0,0,0
0,0,80.4933333333333,506.76,587.253333333333,0,0,0,0,0
0,0,80.5,506.76,587.26,0,0,0,0,0
0,0,80.65,506.76,587.41,0,0,0,0,0
0,0,80.95,506.746666666667,587.696666666667,0,0,0,0,0
0,0,81.0633333333333,506.72,587.783333333333,0,0,0,0,0
0,0,81.12,506.78,587.9,0,0,0,0,0
0,0,81.36,506.78,588.14,0,0,0,0,0
0,0,81.36,506.78,588.14,0,0,0,0,0
0,0,81.75,506.78,588.53,0,0,0,0,0
0,0,81.7766666666667,506.76,588.536666666667,0,0,0,0,0
0,0,81.79,506.773333333333,588.563333333333,0,0,0,0,0
0,0,82.13,506.78,588.91,0,0,0,0,0
0,0,82.13,506.66,588.79,0,0,0,0,0
0,0,82.36,506.66,589.02,0,0,0,0,0
0,0,82.3666666666667,506.75,589.116666666667,0,0,0,0,0
0,0,82.37,506.736666666667,589.106666666667,0,0,0,0,0
0,0,82.38,506.73,589.11,0,0,0,0,0
0,0,82.38,506.73,589.11,0,0,0,0,0
0,0,82.58,506.73,589.31,0,0,0,0,0
0,0,82.7133333333333,506.69,589.403333333333,0,0,0,0,0
0,0,82.98,506.716666666667,589.696666666667,0,0,0,0,0
0,0,83,506.73,589.73,0,0,0,0,0
0,0,83,506.75,589.75,0,0,0,0,0
0,0,83.01,506.76,589.77,0,0,0,0,0
0,0,83.0633333333333,506.773333333333,589.836666666667,0,0,0,0,0
0,0,83.17,506.783333333333,589.953333333333,0,0,0,0,0
0,0,83.57,506.79,590.36,0,0,0,0,0
0,0,83.57,506.79,590.36,0,0,0,0,0
0,0,83.63,506.79,590.42,0,0,0,0,0
0,0,83.6266666666667,506.763333333333,590.39,0,0,0,0,0
0,0,83.62,506.76,590.38,0,0,0,0,0
0,0,83.63,506.78,590.41,0,0,0,0,0
0,0,83.63,506.78,590.41,0,0,0,0,0
0,0,83.64,506.78,590.42,0,0,0,0,0
0,0,83.68,506.76,590.44,0,0,0,0,0
0,0,83.76,506.766666666667,590.526666666667,0,0,0,0,0
0,0,84.11,506.78,590.89,0,0,0,0,0
0,0,84.11,506.786666666667,590.896666666667,0,0,0,0,0
0,0,84.25,506.79,591.04,0,0,0,0,0
0,0,84.25,506.78,591.03,0,0,0,0,0
0,0,84.25,506.783333333333,591.033333333333,0,0,0,0,0
0,0,84.25,506.79,591.04,0,0,0,0,0
0,0,84.25,506.796666666667,591.046666666667,0,0,0,0,0
0,0,84.26,506.8,591.06,0,0,0,0,0
0,0,84.27,506.8,591.07,0,0,0,0,0
0,0,84.29,506.8,591.09,0,0,0,0,0
0,0,84.3366666666667,506.8,591.136666666667,0,0,0,0,0
0,0,84.36,506.726666666667,591.086666666667,0,0,0,0,0
0,0,84.69,506.69,591.38,0,0,0,0,0
0,0,84.69,506.71,591.4,0,0,0,0,0
0,0,84.86,506.73,591.59,0,0,0,0,0
0,0,84.8666666666667,506.75,591.616666666667,0,0,0,0,0
0,0,84.87,506.74,591.61,0,0,0,0,0
0,0,84.87,506.72,591.59,0,0,0,0,0
0,0,84.87,506.72,591.59,0,0,0,0,0
0,0,84.87,506.72,591.59,0,0,0,0,0
0,0,84.9066666666667,506.76,591.666666666667,0,0,0,0,0
0,0,84.98,506.76,591.74,0,0,0,0,0
0,0,85.1233333333333,506.73,591.853333333333,0,0,0,0,0
