#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FEC1
#Date Time: 2018-11-30 13:32:30.339

Time (s),Math 1 (V)
-3.755,0.0713488
-3.75375,0.0313475
-3.7525,0.00414328
-3.75125,-0.0180001
-3.75,-0.0287351
-3.74875,-0.0354427
-3.7475,-0.0465745
-3.74625,-0.0812845
-3.745,-0.0729393
-3.74375,-0.0379941
-3.7425,-0.00742229
-3.74125,0.0174153
-3.74,0.028487
-3.73875,0.0351946
-3.7375,0.0476734
-3.73625,0.0827203
-3.735,0.0716855
-3.73375,0.0316842
-3.7325,0.00448005
-3.73125,-0.0176634
-3.73,-0.0287351
-3.72875,-0.0357841
-3.7275,-0.0462377
-3.72625,-0.0812845
-3.725,-0.0732761
-3.72375,-0.0379895
-3.7225,-0.00775906
-3.72125,0.0170785
-3.72,0.0288238
-3.71875,0.0351992
-3.7175,0.0476734
-3.71625,0.083057
-3.715,0.0723591
-3.71375,0.0316842
-3.7125,0.00448005
-3.71125,-0.0176634
-3.71,-0.0287351
-3.70875,-0.0351059
-3.7075,-0.0455642
-3.70625,-0.0809432
-3.705,-0.0736128
-3.70375,-0.0383309
-3.7025,-0.00775906
-3.70125,0.0170785
-3.7,0.0288238
-3.69875,0.0348578
-3.6975,0.0473367
-3.69625,0.083057
-3.695,0.0723591
-3.69375,0.0316842
-3.6925,0.00481681
-3.69125,-0.0173266
-3.69,-0.0287351
-3.68875,-0.0351059
-3.6875,-0.0455642
-3.68625,-0.0809432
-3.685,-0.0736128
-3.68375,-0.0383263
-3.6825,-0.00775444
-3.68125,0.0170831
-3.68,0.028487
-3.67875,0.0351946
-3.6775,0.0469999
-3.67625,0.083057
-3.675,0.0726912
-3.67375,0.032021
-3.6725,0.00549035
-3.67125,-0.0173266
-3.67,-0.0287351
-3.66875,-0.0354473
-3.6675,-0.0455642
-3.66625,-0.0809432
-3.665,-0.0739496
-3.66375,-0.0383263
-3.6625,-0.00809121
-3.66125,0.0167464
-3.66,0.028487
-3.65875,0.0351946
-3.6575,0.0469999
-3.65625,0.0827156
-3.655,0.073028
-3.65375,0.0320164
-3.6525,0.00549035
-3.65125,-0.0169898
-3.65,-0.0283983
-3.64875,-0.0351059
-3.6475,-0.0452274
-3.64625,-0.0806064
-3.645,-0.0742818
-3.64375,-0.0389998
-3.6425,-0.00876474
-3.64125,0.0167464
-3.64,0.028487
-3.63875,0.0348578
-3.6375,0.0466631
-3.63625,0.0827156
-3.635,0.0733647
-3.63375,0.0323578
-3.6325,0.00549035
-3.63125,-0.0169898
-3.63,-0.0283983
-3.62875,-0.0347692
-3.6275,-0.0455642
-3.62625,-0.0806064
-3.625,-0.0746231
-3.62375,-0.0389998
